lon	lat	plotsize	species_richness	aus_state_info	elevation	hfp	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	species_list
153.1991	-30.0859	1400	38	5	15	16.6931	19.1875	8.1083	47.4172	331.7044	26.7	9.6	17.1	20.1167	15.3667	23	14.85	1441	201	41	43.0213	525	157	450	210	Alphitonia excelsa, Asparagus aethiopicus, Cassytha pubescens, Casuarina glauca, Coldenia procumbens, Corymbia intermedia, Cupaniopsis newmanii, Desmodium gunnii, Duboisia myoporoides, Echinopogon caespitosus, Ectrosia agrostoides, Ehrharta erecta, Entolasia stricta, Eucalyptus tereticornis, Gahnia aspera, Geitonoplesium cymosum, Glycine microphylla, Keraudrenia, Lantana camara, Lomandra longifolia, Melaleuca quinquenervia, Notelaea longifolia, Oplismenus hirtellus, Oplismenus hirtellus, Oxalis chnoodes, Paspalum urvillei, Phebalium, Polymeria calycina, Rapanea variablis, Scyphiphora hydrophylacea, Senna pendula, Smilax australis, Smilax glyciphylla, Stephania japonica, Syzygium smithii, Themeda triandra, Trachymene psammophila, Viola banksii
153.2228	-29.9417	1400	45	5	19	4.2416	18.9583	8.6167	46.5766	357.6046	26.9	8.4	18.5	19.85	14.9333	23.05	14.2333	1373	186	45	40.8458	490	157	425	214	Acianthus, Angophora costata, Centella asiatica, Clematis glycinoides, Coldenia procumbens, Corymbia gummifera, Crossotoma spinescens, Cryptocarya microneura, Cupaniopsis newmanii, Cyanthillium cinereum, Desmodium gunnii, Desmodium rhytidophyllum, Dodonaea triquetra, Echinostephia aculeata, Ehretia microphylla, Ehrharta stipoides, Entolasia stricta, Eriachne pallescens, Eucalyptus microcorys, Eucalyptus portuensis, Excoecaria parvifolia, Gahnia aspera, Geitonoplesium cymosum, Glochidion ferdinandii, Gomphocarpus, Lantana camara, Leucopogon lanceolatus, Lomandra longifolia, Lophostemon confertus, Marsdenia cymulosa, Morinda jasminoides, Notelaea longifolia, Ochrosperma lineare, Oplismenus hirtellus, Paspalum mandiocanum, Persoonia stradbrokensis, Pinus, Pseuderanthemum variabile, Pteridium esculentum, Setaria, Smilax australis, Syngonium podophyllum, Syzygium smithii, Tribulus cistoides, Trichosanthes pentaphylla
152.9324	-30.2859	1400	39	5	450	6.38	16.3333	8.9333	46.2867	380.516	25.1	5.8	19.3	20.6	12.1333	20.7333	11.3333	1843	259	46	46.2617	736	187	652	249	Adiantum hispidulum, Angophora costata, Archirhodomyrtus beckleri, Archontophoenix cunninghamiana, Calanthe triplicata, Cephalaralia cephalobotrys, Ceratopetalum apetalum, Clematis glycinoides, Croton magneticus, Cryptocarya meisneriana, Curcuma australasica, Daviesia squarrosa, Digitaria papposa, Dioscorea transversa, Ehretia microphylla, Eucalyptus portuensis, Eupomatia bennettii, Eupomatia laurina, Eustrephus latifolius, Exocarpos, Glochidion ferdinandii, Goodenia fordiana, Hibbertia dentata, Linospadix monostachyos, Lophostemon confertus, Marsdenia, Oplismenus hirtellus, Petermannia cirrosa, Pseuderanthemum variabile, Rapanea variablis, Smilax australis, Smilax glyciphylla, Stenocarpus salignus, Syngonium podophyllum, Tephrosia flagellaris, Trochocarpa laurina, Vigna marina, Vincetoxicum paniculatum, Xanthosia pilosa
153.0867	-30.2379	1400	41	5	167	10.1186	18.3	9.05	47.1354	368.5229	26.8	7.6	19.2	22.4167	14.2167	22.55	13.4333	1679	247	39	46.5002	652	169	558	222	Adiantum hispidulum, Alchornea scandens, Alectryon subcinereum, Alysicarpus aurantiacus, Archontophoenix cunninghamiana, Asplenium nidus, Asplenium polyodon, Atractocarpus benthamianus, Cordyline petiolaris, Cryptocarya microneura, Cyathea leichhardtiana, Digitaria papposa, Dioscorea transversa, Ehretia, Endiandra muelleri, Eucalyptus grandis, Evolvulus alsinoides, Exocarpos, Exocarpos aphyllus, Geissois benthamiana, Glochidion ferdinandii, Goodenia janamba, Hymenophyllum cupressiforme, Lantana camara, Linospadix monostachyos, Lophostemon confertus, Microsorum scandens, Mimosa pudica, Palmeria scandens, Planchonella australis, Platycerium bifurcatum, Pothos longipes, Quintinia verdonii, Rhipogonum fawcettianum, Sarcopteryx stipitata, Scaevola revoluta, Schoenus, Sloanea woollsii, Smilax glyciphylla, Tephrosia flagellaris, Vigna marina
153.225	-29.9466	1400	31	5	29	4.2416	18.925	8.4833	46.6117	354.3015	26.7	8.5	18.2	19.85	14.9333	22.95	14.2333	1381	185	45	40.7604	494	158	426	217	Acacia myrtifolia, Angophora costata, Banksia oblongifolia, Banksia spinulosa, Billardiera scandens, Caustis, Chloris divaricata, Corymbia gummifera, Crossotoma spinescens, Dodonaea triquetra, Ehrharta stipoides, Entolasia stricta, Epacris, Eriostemon australasius, Glycine clandestina, Hibbertia vestita, Imperata cylindrica, Leptospermum trinervium, Leucopogon lanceolatus, Lomatia silaifolia, Paspalum, Persoonia stradbrokensis, Pinus, Pultenaea petiolaris, Pultenaea villosa, Schizaea bifida, Smilax glyciphylla, Swainsona phacoides, Themeda triandra, Trichosanthes pentaphylla, Xanthorrhoea
153.1843	-30.0657	1400	46	5	21	12.457	19.05	8.4167	47.2846	343.498	26.8	9	17.8	19.9833	15.1333	22.9667	14.5167	1421	198	40	42.864	515	154	445	207	Acacia fimbriata, Acacia maidenii, Acianthus, Adiantum atroviride, Brunoniella australis, Bulbostylis, Caladenia carnea, Callistemon salignus, Clematis glycinoides, Corymbia gummifera, Cupaniopsis newmanii, Curculigo ensifolia, Dichondra repens, Dioscorea transversa, Echinostephia aculeata, Ehretia, Entolasia stricta, Eucalyptus, Eucalyptus microcorys, Eucalyptus portuensis, Eupomatia laurina, Gahnia aspera, Geitonoplesium cymosum, Hibiscus heterophyllus, Jasminum simplicifolium, Lagenophora stipitata, Lantana camara, Lomandra longifolia, Lophostemon confertus, Machaerina nuda, Mackinlaya confusa, Morinda jasminoides, Notelaea longifolia, Oplismenus hirtellus, Parsonsia straminea, Pittosporum revolutum, Pseuderanthemum variabile, Rapanea variablis, Solanum stelligerum, Syngonium podophyllum, Syzygium smithii, Tephrosia flagellaris, Trochocarpa laurina, Typha, Vigna marina, Vitex glabrata
153.0201	-30.296	1400	50	5	181	7.3465	18.0625	9.0583	47.4258	367.2386	26.5	7.4	19.1	22.15	14	22.3	13.2	1776	256	41	46.6527	698	177	606	233	Alpinia caerulea, Alysicarpus aurantiacus, Archirhodomyrtus beckleri, Archontophoenix cunninghamiana, Breynia oblongifolia, Cephalaralia cephalobotrys, Cissus antarctica, Crossotoma spinescens, Croton magneticus, Cryptocarya meisneriana, Cryptocarya microneura, Cyathea leichhardtiana, Daviesia squarrosa, Digitaria papposa, Dioscorea transversa, Ectrosia agrostoides, Ehretia, Ehretia microphylla, Embelia australiana, Eucalyptus leucophloia, Eucalyptus microcorys, Eupomatia laurina, Evolvulus alsinoides, Ficus coronata, Glochidion ferdinandii, Gmelina leichardtii, Gossia inophloia, Lantana camara, Linospadix monostachyos, Lophostemon confertus, Machaerina nuda, Melodinus australis, Mimosa pudica, Morinda jasminoides, Neolitsea dealbata, Niemeyera whitei, Palmeria scandens, Parsonsia straminea, Pilidiostigma glabrum, Platycerium superbum, Rhipogonum discolor, Rhipogonum elseyanum, Rhipogonum fawcettianum, Rubus parvifolius, Syzygium smithii, Tephrosia flagellaris, Ulva, Vigna marina, Xanthosia pilosa, Xylocarpus moluccensis
152.915	-30.2893	1400	35	5	571	6.6092	15.6958	8.9417	46.0911	383.4322	24.6	5.2	19.4	20	11.45	20.1333	10.6667	1890	266	47	46.0607	755	196	667	261	Acacia maidenii, Acradenia euodiiformis, Adiantum hispidulum, Alysicarpus aurantiacus, Atractocarpus benthamianus, Calamus muelleri, Ceratopetalum apetalum, Cryptocarya meisneriana, Curculigo ensifolia, Cyathea leichhardtiana, Daviesia squarrosa, Dianella congesta, Digitaria brownii, Drymophila moorei, Ectrosia agrostoides, Eucalyptus leucophloia, Evolvulus alsinoides, Exocarpos aphyllus, Fieldia australis, Goodenia janamba, Helicia glabriflora, Linospadix monostachyos, Orites excelsus, Pittosporum multiflorum, Planchonella australis, Platycerium bifurcatum, Pyrrosia rupestris, Quintinia sieberi, Rhipogonum discolor, Rhipogonum fawcettianum, Sarcopteryx stipitata, Scaevola revoluta, Smilax glyciphylla, Sorghum nitidum, Tephrosia flagellaris
153.0888	-30.2503	1400	40	5	251	9.2019	18.0958	8.975	47.2368	366.0257	26.6	7.6	19	22.2167	14.05	22.3333	13.2833	1764	254	43	45.8483	683	179	589	240	Alpinia caerulea, Alysicarpus aurantiacus, Archontophoenix cunninghamiana, Citronella moorei, Clerodendrum tomentosum, Crossotoma spinescens, Croton magneticus, Cryptocarya microneura, Cryptocarya obovata, Curculigo ensifolia, Digitaria papposa, Dioscorea transversa, Dysoxylum rufum, Ectrosia agrostoides, Ehretia, Ehretia microphylla, Endiandra muelleri, Eupomatia laurina, Evolvulus alsinoides, Exocarpos, Ficus coronata, Glochidion ferdinandii, Hibbertia vestita, Linospadix monostachyos, Melodinus australis, Morinda jasminoides, Mucuna gigantea, Neolitsea dealbata, Niemeyera whitei, Palmeria scandens, Parsonsia purpurascens, Pittosporum revolutum, Planchonella australis, Pseuderanthemum variabile, Rhipogonum fawcettianum, Smilax glyciphylla, Syzygium smithii, Tephrosia flagellaris, Trochocarpa laurina, Vigna marina
153.1078	-30.3472	1400	34	5	9	41	19.1	8.5167	48.1168	343.5973	26.8	9.1	17.7	21.9	15.2	23.0333	14.5667	1662	244	43	44.5688	618	179	523	229	Acacia longifolia, Acronychia imperforata, Banksia integrifolia, Breynia oblongifolia, Cajanus pubescens, Chrysanthemoides monilifera, Cinnamomum camphora, Conyza, Cyperus eglobosus, Excoecaria parvifolia, Ficinia nodosa, Geitonoplesium cymosum, Glochidion ferdinandii, Glycine clandestina, Gomphocarpus, Hibbertia scandens, Imperata cylindrica, Lantana camara, Leucopogon lanceolatus, Leucopogon parviflorus, Machaerina nuda, Maclura cochinchinensis, Monotoca elliptica, Ophioglossum, Piper mestonii, Polyscias elegans, Pteridium esculentum, Rhodomyrtus psidioides, Rhynchospora exserta, Rubus parvifolius, Smilax australis, Stephania japonica, Syzygium australe, Syzygium smithii
152.9189	-30.2823	1400	36	5	550	6.5028	15.8542	8.9917	46.5889	382.4886	24.7	5.4	19.3	20.15	11.6333	20.2833	10.8333	1881	265	47	46.0412	753	195	665	259	Acrotriche aggregata, Angophora costata, Archirhodomyrtus beckleri, Billardiera scandens, Blechnum patersonii, Cajanus pubescens, Ceratopetalum apetalum, Croton magneticus, Daviesia squarrosa, Digitaria papposa, Ehretia microphylla, Entolasia stricta, Eucalyptus andrewsii, Eucalyptus grandis, Eucalyptus portuensis, Exocarpos, Exocarpos aphyllus, Glochidion ferdinandii, Gomphocarpus, Gossia punctata, Hibbertia dentata, Hibbertia scandens, Homalanthus novoguineensis, Lomandra longifolia, Lomatia silaifolia, Maireana dichoptera, Melicope hayesii, Pandorea pandorana, Parsonsia purpurascens, Parsonsia straminea, Pseuderanthemum variabile, Pteridium esculentum, Sarcopteryx stipitata, Smilax australis, Smilax glyciphylla, Trochocarpa laurina
153.0746	-30.3207	1400	38	5	53	27.0996	18.8917	9.25	47.9275	365.8169	27.3	8	19.3	22.9833	14.85	23.0833	14.0333	1703	254	41	46.078	652	176	552	225	Callistemon salignus, Corymbia gummifera, Crossotoma spinescens, Cryptostylis erecta, Cupaniopsis newmanii, Digitaria papposa, Dioscorea transversa, Ehretia, Eucalyptus leucophloia, Eucalyptus microcorys, Eucalyptus portuensis, Eustrephus latifolius, Gahnia sieberiana, Gardenia ovularis, Glochidion ferdinandii, Gomphocarpus, Hibbertia scandens, Hypolepis, Lantana camara, Lomandra longifolia, Melaleuca linariifolia, Morinda jasminoides, Myrsine howittiana, Notelaea longifolia, Oplismenus hirtellus, Parsonsia straminea, Pergularia rostrata, Pseuderanthemum variabile, Pteridium esculentum, Rhipogonum fawcettianum, Smilax australis, Smilax glyciphylla, Syzygium crebrinerve, Syzygium luehmannii, Syzygium smithii, Tephrosia flagellaris, Vigna marina, Vitex glabrata
153.0816	-30.2379	1400	39	5	196	10.1186	18.1417	8.9833	47.0332	368.0343	26.6	7.5	19.1	22.2667	14.0667	22.3833	13.2833	1698	246	40	46.2321	660	171	569	226	Alpinia caerulea, Archontophoenix cunninghamiana, Ceratopetalum apetalum, Cordyline petiolaris, Crossotoma spinescens, Croton magneticus, Cryptocarya microneura, Cryptocarya obovata, Cyperus eragrostis, Digitaria papposa, Dioscorea transversa, Ehretia microphylla, Endiandra muelleri, Eriachne pallescens, Exocarpos, Exocarpos aphyllus, Gahnia aspera, Geitonoplesium cymosum, Glochidion ferdinandii, Gomphocarpus, Gossia inophloia, Linospadix monostachyos, Litsea reticulata, Lophostemon confertus, Melodinus australis, Morinda jasminoides, Niemeyera whitei, Parsonsia straminea, Pittosporum revolutum, Platycerium bifurcatum, Pseuderanthemum variabile, Rhipogonum fawcettianum, Sarcopteryx stipitata, Schizomeria ovata, Syzygium, Terminalia oblongata, Trochocarpa laurina, Vigna marina, Xanthosia pilosa
153.215	-29.9426	1400	34	5	33	4.5119	18.8917	8.6833	46.6846	359.6958	26.9	8.3	18.6	22.9333	14.85	23	14.1333	1370	185	44	40.9836	488	156	427	211	Alphitonia excelsa, Angophora costata, Aristida vagans, Billardiera scandens, Breynia oblongifolia, Brunoniella australis, Coldenia procumbens, Cupaniopsis newmanii, Desmodium rhytidophyllum, Ehretia microphylla, Entolasia stricta, Eucalyptus microcorys, Eucalyptus pyrocarpa, Eustrephus latifolius, Geitonoplesium cymosum, Geranium solanderi, Glochidion ferdinandii, Hibbertia vestita, Imperata cylindrica, Lantana camara, Lomandra confertifolia, Lomandra longifolia, Mischocarpus macrocarpus, Patersonia glabrata, Persoonia stradbrokensis, Phyllanthus hirtellus, Piper mestonii, Pteridium esculentum, Pultenaea retusa, Pultenaea villosa, Roepera apiculata, Smilax glyciphylla, Trichosanthes pentaphylla, Vitex glabrata
