lon	lat	plotsize	species_richness	aus_state_info	elevation	hfp	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	species_list
13758780	-1406428	300	45	7	77	7.4009	26.2708	7.125	63.6161	124.5438	31.8	20.6	11.2	27.1667	24.6833	27.6167	24.5167	1828	424	7	106.1496	1186	34	704	57	Acacia crassicarpa, Acacia leptocarpa, Acacia rothii, Allocasuarina littoralis, Alloteropsis semialata, Alphitonia pomaderroides, Asteromyrtus brassii, Blumea saxatilis, Breynia cernua, Cheilanthes, Clerodendrum floribundum, Coelospermum decipiens, Coelospermum reticulatum, Croton arnhemicus, Cyanthillium cinereum, Dianella, Eriachne stipacea, Erythroxylum australe, Eulalia mackinlayi, Euphorbia bifida, Euphorbia mitchelliana, Evolvulus alsinoides, Exocarpos latifolius, Fimbristylis, Gahnia aspera, Grevillea glauca, Grevillea parallela, Heteropogon triticeus, Hibbertia, Lomandra, Melaleuca viridiflora, Neofabricia myrtifolia, Parinari nonda, Parsonsia, Persoonia falcata, Phyllanthus, Phyllanthus virgatus, Planchonella pohlmaniana, Polymeria ambigua, Rubiaceae, Schelhammera multiflora, Schoenus sparteus, Smilax australis, Tarenna dallachiana, Tricoryne anceps
13889142	-1833374	300	9	7	5	4.4411	26.65	11.1833	63.5417	196.0636	34.7	17.1	17.6	28.2	24.3667	28.7833	23.9	1222	301	2	114.0008	822	9	529	18	Aegialitis annulata, Avicennia marina, Bruguiera exaristata, Ceriops tagal, Excoecaria agallocha, Osbornia octodonta, Rhizophora apiculata, Sporobolus virginicus, Xylocarpus
14009943	-1975896	300	26	7	145	7.9115	25.1042	7.4417	53.1548	219.9014	32	18	14	26.9833	24.0333	27.45	22.0667	1868	433	11	109.0531	1243	47	814	57	Acacia flavescens, Acacia leptocarpa, Alphitonia pomaderroides, Aristida, Arundinella setosa, Coelorachis rottboellioides, Corymbia clarksoniana, Corymbia nesophila, Cyanthillium cinereum, Digitaria, Eragrostis, Eriachne triseta, Erythrophleum chlorostachys, Eucalyptus platyphylla, Glycine tabacina, Grevillea parallela, Heteropogon triticeus, Indigofera pratensis, Ipomoea, Panicum, Passiflora foetida, Schelhammera multiflora, Schizachyrium fragile, Spermacoce brachystema, Themeda triandra, Trema tomentosa
13779543	-1542909	300	25	7	62	0.271	25.9167	9.35	61.5132	163.7533	33.2	18	15.2	27.15	23.9333	27.7	23.5833	1678	381	7	108.1432	1106	39	657	49	Acacia auriculiformis, Alphitonia pomaderroides, Archontophoenix alexandrae, Beilschmiedia obtusifolia, Blepharocarya involucrigera, Buchanania arborescens, Cleistanthus apodus, Cryptocarya brassii, Dalbergia densa, Drypetes deplanchei, Eucalyptus leptophleba, Flagellaria indica, Garcinia warrenii, Helicia australasica, Leptospermum javanicum, Litsea glutinosa, Lophostemon suaveolens, Mallotus polyadenos, Melaleuca argentea, Melaleuca viridiflora, Melastoma malabathricum, Nauclea orientalis, Syzygium forte, Toechima daemelianum, Vitex glabrata
13778164	-1490776	300	37	7	54	0.25	26.1625	8.4583	63.1219	143.0055	32.7	19.3	13.4	27.2333	24.4	27.7	24.1333	1657	382	5	107.5748	1083	28	666	45	Acacia crassicarpa, Alyxia spicata, Antirhea ovatifolia, Arthrostylis aphylla, Asteromyrtus angustifolia, Atractocarpus sessilis, Bossiaea arenicola, Canthium, Cassytha filiformis, Choriceras tricorne, Dianella pavopennacea, Diospyros, Dischidia major, Dischidia nummularia, Dischidia ovata, Drypetes deplanchei, Eugenia reinwardtiana, Exocarpos latifolius, Fimbristylis, Gardenia, Halfordia, Halfordia kendack, Leucopogon ruscifolius, Leucopogon yorkensis, Lomandra, Myrsine angusta, Neofabricia myrtifolia, Notelaea, Pandanus conicus, Pimelea aquilonia, Rapanea variablis, Schizaea dichotoma, Sersalisia sericea, Stenocarpus, Syzygium banksii, Thryptomene oligandra, Trachystylis stradbrokensis
13969911	-2552508	300	22	7	727	0.2501	21.5917	11.1667	49.41	423.1797	32.1	9.5	22.6	26.15	17.2167	26.15	15.8667	578	131	7	86.9934	332	29	332	34	Acacia shirleyi, Aristida calycina, Calotis dentex, Capparis canescens, Cheilanthes sieberi, Cleistochloa subjuncea, Digitaria breviglumis, Dodonaea tenuifolia, Eragrostis lacunaria, Eragrostis spartinoides, Eucalyptus exilipes, Eucalyptus persistens, Goodenia disperma, Hibiscus krichauffianus, Olearia xerophila, Oxalis perennans, Parsonsia lanceolata, Paspalidium gracile, Phyllanthus collinus, Pseuderanthemum variabile, Santalum lanceolatum, Solanum ellipticum
13820183	-1582738	300	41	7	42	3.5273	25.9417	8.15	59.9265	168.7768	32.6	19	13.6	27.3167	24.85	27.7333	23.55	1874	408	11	98.8411	1153	55	671	99	Acacia calyculata, Acacia rothii, Asteromyrtus lysicephala, Breynia cernua, Breynia oblongifolia, Brunoniella acaulis, Cassytha filiformis, Cheilanthes, Choriceras tricorne, Cleistochloa subjuncea, Coelospermum reticulatum, Corymbia nesophila, Cyanthillium cinereum, Dianella, Dodonaea polyandra, Eragrostis, Eremochloa bimaculata, Eriachne pallescens, Eucalyptus tetrodonta, Eulalia mackinlayi, Grevillea glauca, Helicteres, Helicteres angustifolia, Hibbertia, Hybanthus enneaspermus, Jacksonia thesioides, Lamprolobium fruticosum, Leucopogon ruscifolius, Lomandra, Melaleuca viridiflora, Neofabricia myrtifolia, Parinari nonda, Persoonia falcata, Petalostigma banksii, Petalostigma pubescens, Poaceae, Schoenus sparteus, Spermacoce stenophylla, Syzygium suborbiculare, Xanthorrhoea johnsonii, Xyris complanata
13856607	-1783073	300	21	7	22	0.4129	26.3708	10.5083	62.1795	198.6026	34.2	17.3	16.9	27.9667	24.1667	28.4833	23.5667	1326	343	2	117.607	914	10	573	14	Acacia leptocarpa, Allopterigeron filifolius, Aristida, Bossiaea armitii, Canthium, Cyperus difformis, Desmodium, Drosera petiolaris, Eriachne, Eriocaulaceae, Fimbristylis, Hakea pedunculata, Melaleuca citrolens, Melaleuca foliolosa, Mitrasacme, Myrtella, Rhynchosia, Schizachyrium fragile, Schoenus sparteus, Scleria, Xyris
13760208	-1979855	300	11	7	51	10.6253	27.0792	12.7917	60.624	237.759	36.8	15.7	21.1	28.55	23.7	29.5833	23.7	1127	299	1	120.3584	778	5	547	5	Asteromyrtus symphyocarpa, Calycopeplus casuarinoides, Canthium, Ectrosia leporina, Hydrocotyle tumida, Hypericum gramineum, Melaleuca clarksonii, Melaleuca viridiflora, Oldenlandia galioides, Poaceae, Pseudoraphis spinescens
13955264	-1837119	300	22	7	512	0.3835	23.925	8.35	59.2199	197.8923	31	16.9	14.1	25.7	21.5833	26.0667	21.2333	1688	374	6	105.471	1098	41	909	60	Acacia flavescens, Adiantum, Alyxia spicata, Cryptocarya vulgaris, Cyclophyllum coprosmoides, Cyperus pedunculosus, Deplanchea tetraphylla, Endiandra glauca, Eucalyptus crebra, Flagellaria indica, Gahnia aspera, Guioa acutifolia, Hypserpa decumbens, Litsea breviumbellata, Lophostemon suaveolens, Mischocarpus, Morinda, Muehlenbeckia zippelii, Rapanea variablis, Rhodamnia, Schizoloma medium, Stephania japonica
