	0	1	2	3
0	nn_1234_7_states_27_features_50_neighbours_30_15_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.5921	0.0721	0.0609
1	nn_1234_7_states_27_features_50_neighbours_30_15_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6165	0.0747	0.0819
2	nn_1234_7_states_27_features_50_neighbours_30_15_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6343	0.0791	0.1145
3	nn_1234_7_states_27_features_50_neighbours_30_20_10_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.5904	0.0722	0.066
4	nn_1234_7_states_27_features_50_neighbours_30_20_10_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6153	0.074	0.0987
5	nn_1234_7_states_27_features_50_neighbours_30_20_10_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6824	0.0786	0.1221
6	nn_1234_7_states_27_features_50_neighbours_30_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6073	0.0738	0.0835
7	nn_1234_7_states_27_features_50_neighbours_30_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.5884	0.0736	0.0835
8	nn_1234_7_states_27_features_50_neighbours_30_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6157	0.0764	0.1016
9	nn_1234_7_states_27_features_50_neighbours_30_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6233	0.0732	0.0882
10	nn_1234_7_states_27_features_50_neighbours_30_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6198	0.0741	0.0829
11	nn_1234_7_states_27_features_50_neighbours_30_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6336	0.075	0.0954
12	nn_1234_7_states_6_features_50_neighbours_30_15_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.657	0.0751	0.0823
13	nn_1234_7_states_6_features_50_neighbours_30_15_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6111	0.0752	0.0951
14	nn_1234_7_states_6_features_50_neighbours_30_15_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6725	0.0783	0.1312
15	nn_1234_7_states_6_features_50_neighbours_30_20_10_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6225	0.0743	0.0804
16	nn_1234_7_states_6_features_50_neighbours_30_20_10_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6542	0.0749	0.1012
17	nn_1234_7_states_6_features_50_neighbours_30_20_10_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6844	0.0794	0.1307
18	nn_1234_7_states_6_features_50_neighbours_30_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.644	0.0752	0.1013
19	nn_1234_7_states_6_features_50_neighbours_30_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6129	0.0761	0.1356
20	nn_1234_7_states_6_features_50_neighbours_30_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.7103	0.0788	0.1457
21	nn_1234_7_states_6_features_50_neighbours_30_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6611	0.075	0.1088
22	nn_1234_7_states_6_features_50_neighbours_30_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.7078	0.0773	0.1409
23	nn_1234_7_states_6_features_50_neighbours_30_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.7095	0.0779	0.1434
24	nn_1234_7_states_8_features_50_neighbours_30_15_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6179	0.0745	0.0673
25	nn_1234_7_states_8_features_50_neighbours_30_15_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6335	0.0749	0.0911
26	nn_1234_7_states_8_features_50_neighbours_30_15_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6606	0.0778	0.1173
27	nn_1234_7_states_8_features_50_neighbours_30_20_10_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6157	0.0741	0.0634
28	nn_1234_7_states_8_features_50_neighbours_30_20_10_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.6047	0.0731	0.0877
29	nn_1234_7_states_8_features_50_neighbours_30_20_10_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.7323	0.0788	0.1357
30	nn_1234_7_states_8_features_50_neighbours_30_5_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6301	0.0749	0.0851
31	nn_1234_7_states_8_features_50_neighbours_30_5_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.5872	0.0757	0.1012
32	nn_1234_7_states_8_features_50_neighbours_30_5_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.674	0.0779	0.1298
33	nn_1234_7_states_8_features_50_neighbours_30_nodes_0.0_dropout_softplus_40_batchsize_5000_epochs	0.6555	0.0742	0.1064
34	nn_1234_7_states_8_features_50_neighbours_30_nodes_0.1_dropout_softplus_40_batchsize_5000_epochs	0.7022	0.0753	0.1056
35	nn_1234_7_states_8_features_50_neighbours_30_nodes_0.3_dropout_softplus_40_batchsize_5000_epochs	0.6776	0.0763	0.1107
